restaurant_name,googlemap_name,address,rating,review_count,price,category,image
횡성축협한우 터 신촌,횡성축협한우 터,서울특별시 서대문구 명물길 18,4.4,53.0,,한식당,https://lh6.googleusercontent.com/0vMd8a3fkTNrPDCqIaqjq9j__00U6dRDqqdZfs9J29X4sDQOCiSaOrM9UBzbB2kr=w408-h306-k-no
방콕익스프레스 신촌,방콕익스프레스,"백송 빌딩, 창천동 서대문구 서울특별시",4.2,550.0,"₩10,000~20,000",태국 음식점,https://lh5.googleusercontent.com/p/AF1QipMVkfKHPj-euXj5EsL-L-nKasiJ3BlISyqi02AO=w408-h408-k-no
고향전주비빔밥 현대백화점신촌점,고향전주비빔밥 현대백화점신촌점,서울특별시 서대문구 신촌로 83 현대백화점신촌점 10층,4.5,18.0,"₩10,000~20,000",한식당,https://lh5.googleusercontent.com/p/AF1QipMMPApU_OcmxdP4wI6t-lHx0dGZ54GSBDfFr9wP=w426-h240-k-no
유텐실 신촌,유텐실,서울특별시 서대문구 창천동 연세로5다길 10,3.4,25.0,,음식점,https://lh5.googleusercontent.com/p/AF1QipMmkUpYN3AAPYQDvCSURF0BkYqEMs_3H-r7UrU=w408-h306-k-no
소문난집 신촌,소문난집,서울특별시 서대문구 창천동 53-15,4.4,123.0,"₩20,000~30,000",한식 고기구이 레스토랑,https://lh5.googleusercontent.com/p/AF1QipP7nCStPy32CYmLbwGT296KelqzzLH5oOsoS_Jt=w426-h240-k-no
돈우마미 신촌,돈우마미,서울특별시 서대문구 신촌동 연세로5길 38,4.3,46.0,"₩10,000~20,000",음식점,https://lh5.googleusercontent.com/p/AF1QipPesz9Udxve6d49MePDb2TfKAzbPg_ehIT5Gjo2=w408-h306-k-no
부엉이돈가스 신촌본점,부엉이돈가스 신촌본점,서울특별시 서대문구 연세로4길 62,4.1,274.0,"₩10,000~20,000",돈까스 전문식당,https://lh5.googleusercontent.com/p/AF1QipMQ6KyZnm97zk5OOiP_JmIDVJNPs0fdQ7pyFSes=w426-h240-k-no
홍대돈부리 신촌점,홍대돈부리 신촌점,서울특별시 서대문구 창천동 2-7,4.1,155.0,"₩10,000~20,000",일본 음식점,https://lh5.googleusercontent.com/p/AF1QipNmy-xGxruJ_afNQG7_uAX7OzEuJ1QWs5CiOXYj=w408-h306-k-no
새마을식당 신촌,새마을식당,서울특별시 서대문구 연세로2길 6,3.9,750.0,"₩10,000~20,000",한식 고기구이 레스토랑,https://lh5.googleusercontent.com/p/AF1QipNpJmaNOp_1EOraD5fJ7_OUPM3xpChqj9HhilT-=w408-h306-k-no
연어초밥 신촌,연어초밥,서울특별시 서대문구 이화여대1길 42-1 3층,4.7,116.0,"₩10,000~20,000",스시/초밥집,https://lh5.googleusercontent.com/p/AF1QipPxIeQJ29g7lIm9cl0Qu1X1H2Gs20SWGCTormEe=w408-h306-k-no
미스터서왕만두 이대점 신촌,미스터서왕만두 이대점,서울특별시 서대문구 신촌로 16,4.5,517.0,"₩1~10,000",만두 전문점,https://lh5.googleusercontent.com/p/AF1QipPJSf1uwnn_ZLmSB46rarQtVlktuog13-Miq0ix=w426-h240-k-no
타코몽 신촌,타코몽,서울특별시 서대문구 신촌동 신촌로 49,4.5,219.0,"₩10,000~20,000",오코노미야끼 전문식당,https://lh5.googleusercontent.com/p/AF1QipO7B0nzVr1T7JYa22TD3T3ZLmtRpOuQXJOHHa0-=w408-h504-k-no
칼 신촌,칼,서울특별시 서대문구 신촌동 연세로4길 42-3,4.7,24.0,,음식점,https://lh5.googleusercontent.com/p/AF1QipOeJsg5egYoSyeztWfHakrYFTXX7JDtVb_q123V=w408-h544-k-no
김덕후의 차돌조 신촌직영점,김덕후의 차돌조 신촌직영점,서울특별시 서대문구 연세로5가길 20,4.5,83.0,"₩20,000~30,000",고기 요리 전문점,https://lh6.googleusercontent.com/mCcT4pF-CGhC3csSLy_VUpfOJDq0T5unQ4SLoH57XD84riCdzVOnzHJs3XZ-u4KPPQ=w408-h306-k-no
김광석신촌칼국수 본점,김광석신촌칼국수 본점,서울특별시 신촌로 124,4.3,497.0,"₩10,000~20,000",칼국수집,https://lh5.googleusercontent.com/p/AF1QipNTj_gEj4ku4JvMVxssfJqf6ou5ZavgPjlWMWtA=w426-h240-k-no
파스타리코 신촌점,파스타리코 신촌점,,4.3,41.0,"₩10,000~20,000",이탈리아 음식점,https://lh5.googleusercontent.com/p/AF1QipOJ-WyVM_SBaSrpi87xbnX63NVYlb53z-xnE6kt=w408-h544-k-no
대포찜닭 신촌점,대포찜닭 신촌점,서울특별시 서대문구 연세로 27-1,4.3,384.0,"₩10,000~20,000",닭요리전문점,https://lh3.googleusercontent.com/mAB42wEfJ7KaIBVuQ4-5bePxVVnEoQNGI9Ly6hA9n3GVfdSQEJThBK86zaaAVGP6=w408-h306-k-no
가문의우동 신촌,가문의우동,서울특별시 서대문구 연세로12길 8,4.5,125.0,"₩1~20,000",우동 전문점,
KATSUP 카츠업 신촌,KATSUP 카츠업,서울특별시 서대문구 연세로5길 32,4.5,71.0,"₩10,000~20,000",돈까스 전문식당,
자연담은화로 신촌,자연담은화로,서울특별시 서대문구 연세로11길 29,4.5,64.0,"₩20,000~30,000",삼겹살 전문점,
명성양꼬치 신촌본점,명성양꼬치 신촌본점,서울특별시 서대문구 연세로4길 33,4.6,36.0,,양고기 바베큐 전문점,https://lh5.googleusercontent.com/p/AF1QipONr305b0oF97qgC3Pxl5C4TMWVfuTpxzvN78PN=w426-h240-k-no
구복 신촌,구복,서울특별시 서대문구 창천동 13-49,3.9,127.0,"₩1~10,000",중국 음식점,https://lh5.googleusercontent.com/p/AF1QipMl9Js6Ts7r4mrHC_USH_SNiPVizSNwCSlkDNWh=w408-h306-k-no
죽해수산 신촌,죽해수산,서울특별시 서대문구 연세로5길 30,4.2,227.0,"₩100,000 이상",대게전문점,https://lh5.googleusercontent.com/p/AF1QipPCymP0rv8zf8HmZ2IWkcjPDBBvbYDeisw3QDsE=w408-h306-k-no
강남불백 신촌점,강남불백 신촌점,서울 서대문구 연세로4길 6,4.2,71.0,"₩10,000~20,000",한식당,https://lh5.googleusercontent.com/p/AF1QipMYoTRPGZy6QYS6PcwvS5o--mnZ1HMeGicvRyuU=w408-h408-k-no
연래춘 신촌,연래춘,서울특별시 마포구 신촌로22길 9,4.5,126.0,"₩10,000~20,000",중국 음식점,https://lh5.googleusercontent.com/p/AF1QipPv_vlDGzbZfO1CJqyLqVE3chPayTSXS7TLzNEx=w408-h544-k-no
태백산맥 신촌,태백산맥,서울특별시 서대문구 창천동 5-45,4.4,93.0,"₩10,000~20,000",음식점,https://lh5.googleusercontent.com/p/AF1QipNiPSdcPuPnQ-xd7og0jhrmE7G5qi2HdYTlwKnA=w426-h240-k-no
아저씨네낙지찜 신촌,아저씨네낙지찜,서울특별시 서대문구 창천동 72-29,4.3,217.0,"₩10,000~20,000",음식점,https://lh5.googleusercontent.com/p/AF1QipN_0bg9rLYeiYP7iZ_jk7DOePjfHN9WVHb2wmQd=w408-h724-k-no
천진분식 신촌,천진분식,서울특별시 서대문구 이화여대5길 7,4.2,71.0,"₩1~10,000",만두 전문점,https://lh5.googleusercontent.com/p/AF1QipPlLb1-t25nBPekcKmTdSyKbiGMBUhOQPIBJWdh=w408-h544-k-no
